BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
1,ZC000001,100,BARDEN,BARDEN PRECISION BEARINGS,2.5959,4.4041,1.767,0.3708,0
2,ZC000002,100H,BARDEN,BARDEN PRECISION BEARINGS,3.3521,5.6479,1.77015,0.3725,0
3,ZC000003,101,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
4,ZC000004,101H,BARDEN,BARDEN PRECISION BEARINGS,3.8638,6.1362,2.0156,0.3864,0
5,ZC000005,102,BARDEN,BARDEN PRECISION BEARINGS,3.6078,5.3922,2.3697,0.4009,0
6,ZC000006,102H,BARDEN,BARDEN PRECISION BEARINGS,4.4231,6.5769,2.3721,0.4021,0
7,ZC000007,103,BARDEN,BARDEN PRECISION BEARINGS,4.1054,5.8946,2.6458,0.4105,0
8,ZC000008,103H,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
9,ZC000009,104,BARDEN,BARDEN PRECISION BEARINGS,3.598,5.402,2.34195,0.3998,0
10,ZC000010,104H,BARDEN,BARDEN PRECISION BEARINGS,4.4114,6.5886,2.3444,0.401,0
11,ZC000011,105,BARDEN,BARDEN PRECISION BEARINGS,4.1371,5.8629,2.7496,0.4137,0
12,ZC000012,105H,BARDEN,BARDEN PRECISION BEARINGS,5.3923,7.6077,2.7517,0.4148,0
13,ZC000013,106,BARDEN,BARDEN PRECISION BEARINGS,4.6049,6.3951,2.9254,0.4186,0
14,ZC000014,106H,BARDEN,BARDEN PRECISION BEARINGS,5.875,8.125,2.92735,0.4196,0
15,ZC000015,107,BARDEN,BARDEN PRECISION BEARINGS,4.6193,6.3807,2.9761,0.4199,0
16,ZC000016,107H,BARDEN,BARDEN PRECISION BEARINGS,6.3141,8.6859,2.97805,0.4209,0
17,ZC000017,108,BARDEN,BARDEN PRECISION BEARINGS,5.1373,6.8627,3.3313,0.4281,0
18,ZC000018,108H,BARDEN,BARDEN PRECISION BEARINGS,7.2932,9.7068,3.33305,0.429,0
19,ZC000019,109H,BARDEN,BARDEN PRECISION BEARINGS,6.7732,9.2268,3.07525,0.4233,0
20,ZC000020,110,BARDEN,BARDEN PRECISION BEARINGS,5.5687,7.4313,3.34325,0.4284,0
21,ZC000021,110H,BARDEN,BARDEN PRECISION BEARINGS,7.7266,10.2734,3.345,0.4293,0
22,ZC000022,111,BARDEN,BARDEN PRECISION BEARINGS,5.0991,6.9009,3.1837,0.4249,0
23,ZC000023,111H,BARDEN,BARDEN PRECISION BEARINGS,7.2396,9.7604,3.18555,0.4259,0
24,ZC000024,112H,BARDEN,BARDEN PRECISION BEARINGS,7.7534,10.2466,3.41995,0.4307,0
25,ZC000025,113H,BARDEN,BARDEN PRECISION BEARINGS,8.2647,10.7353,3.6515,0.435,0
26,ZC000026,114H,BARDEN,BARDEN PRECISION BEARINGS,7.7721,10.2279,3.4741,0.4318,0
27,ZC000027,115H,BARDEN,BARDEN PRECISION BEARINGS,8.7087,11.2913,3.67765,0.4354,0
28,ZC000028,116H,BARDEN,BARDEN PRECISION BEARINGS,8.6538,11.3462,3.52255,0.4327,0
29,ZC000029,117H,BARDEN,BARDEN PRECISION BEARINGS,9.1519,11.8481,3.69975,0.4358,0
30,ZC000030,118H,BARDEN,BARDEN PRECISION BEARINGS,8.2337,10.7663,3.5588,0.4334,0
31,ZC000031,119H,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
32,ZC000032,120H,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
33,ZC000033,122H,BARDEN,BARDEN PRECISION BEARINGS,8.631,11.369,3.4618,0.4316,0
34,ZC000034,124H,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.71775,0.4361,0
35,ZC000035,126H,BARDEN,BARDEN PRECISION BEARINGS,8.6525,11.3475,3.5191,0.4326,0
36,ZC000036,1900H,BARDEN,BARDEN PRECISION BEARINGS,3.8018,6.1982,1.8996,0.3802,0
37,ZC000037,1902H,BARDEN,BARDEN PRECISION BEARINGS,5.7782,8.2218,2.6828,0.4127,0
38,ZC000038,1903H,BARDEN,BARDEN PRECISION BEARINGS,5.8577,8.1423,2.8809,0.4184,0
39,ZC000039,1904H,BARDEN,BARDEN PRECISION BEARINGS,5.2762,7.7238,2.47425,0.4059,0
40,ZC000040,1905H,BARDEN,BARDEN PRECISION BEARINGS,6.7186,9.2814,2.93795,0.4199,0
41,ZC000041,1906H,BARDEN,BARDEN PRECISION BEARINGS,7.7457,10.2543,3.39815,0.4303,0
42,ZC000042,1908H,BARDEN,BARDEN PRECISION BEARINGS,8.215,10.785,3.5051,0.4324,0
43,ZC000043,1918H,BARDEN,BARDEN PRECISION BEARINGS,11.702,14.298,4.7887,0.4501,0
44,ZC000044,200,BARDEN,BARDEN PRECISION BEARINGS,2.5699,4.4301,1.71045,0.3671,0
45,ZC000045,200H,BARDEN,BARDEN PRECISION BEARINGS,3.3191,5.6809,1.7137,0.3688,0
46,ZC000046,201,BARDEN,BARDEN PRECISION BEARINGS,2.5912,4.4088,1.75655,0.3702,0
47,ZC000047,201H,BARDEN,BARDEN PRECISION BEARINGS,3.3461,5.6539,1.7597,0.3718,0
48,ZC000048,202,BARDEN,BARDEN PRECISION BEARINGS,2.6302,4.3698,1.84645,0.3757,0
49,ZC000049,202H,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
50,ZC000050,203,BARDEN,BARDEN PRECISION BEARINGS,3.0738,4.9262,1.99895,0.3842,0
51,ZC000051,203H,BARDEN,BARDEN PRECISION BEARINGS,3.8567,6.1433,2.00175,0.3857,0
52,ZC000052,203SST,BARDEN,BAR,3.085,4.915,2.002,0.386,0
53,ZC000053,204,BARDEN,BARDEN PRECISION BEARINGS,3.0807,4.9193,2.0156,0.3851,0
54,ZC000054,204H,BARDEN,BARDEN PRECISION BEARINGS,3.8652,6.1348,2.0184,0.3865,0
55,ZC000055,204SST,BARDEN,BAR,3.104,4.896,2.021,0.388,0
56,ZC000056,205,BARDEN,BARDEN PRECISION BEARINGS,3.5951,5.4049,2.33365,0.3995,0
57,ZC000057,205H,BARDEN,BARDEN PRECISION BEARINGS,4.4078,6.5922,2.3361,0.4007,0
